日期,中国国债收益率2年,中国国债收益率5年,中国国债收益率10年,中国国债收益率30年,中国国债收益率10年-2年,中国GDP年增率,美国国债收益率2年,美国国债收益率5年,美国国债收益率10年,美国国债收益率30年,美国国债收益率10年-2年,美国GDP年增率
1990-12-19,,,,,,,7.21,7.64,8.0,8.19,0.79,
1990-12-20,,,,,,,7.25,7.67,8.05,8.22,0.8,
1990-12-21,,,,,,,7.3,7.75,8.11,8.28,0.81,
1990-12-24,,,,,,,7.35,7.84,8.2,8.36,0.85,
1990-12-26,,,,,,,7.27,7.78,8.15,8.3,0.88,
1990-12-27,,,,,,,7.25,7.75,8.11,8.25,0.86,
1990-12-28,,,,,,,7.25,7.78,8.14,8.31,0.89,
1990-12-31,,,,,,3.9,7.15,7.68,8.08,8.26,0.93,1.9
1991-01-02,,,,,,,7.08,7.59,7.97,8.14,0.89,
1991-01-03,,,,,,,7.08,7.56,7.93,8.11,0.85,
1991-01-04,,,,,,,7.17,7.65,8.02,8.2,0.85,
1991-01-07,,,,,,,7.2,7.75,8.13,8.32,0.93,
1991-01-08,,,,,,,7.15,7.74,8.16,8.37,1.01,
1991-01-09,,,,,,,7.1,7.81,8.25,8.46,1.15,
1991-01-10,,,,,,,7.14,7.76,8.16,8.37,1.02,
1991-01-11,,,,,,,7.14,7.79,8.2,8.39,1.06,
1991-01-14,,,,,,,7.18,7.82,8.23,8.41,1.05,
1991-01-15,,,,,,,7.16,7.79,8.22,8.41,1.06,
1991-01-16,,,,,,,7.21,7.83,8.24,8.4,1.03,
1991-01-17,,,,,,,7.19,7.71,8.05,8.18,0.86,
1991-01-18,,,,,,,7.14,7.68,8.03,8.17,0.89,
1991-01-22,,,,,,,7.13,7.7,8.07,8.23,0.94,
1991-01-23,,,,,,,7.08,7.67,8.04,8.21,0.96,
1991-01-24,,,,,,,7.04,7.61,8.0,8.18,0.96,
1991-01-25,,,,,,,7.1,7.67,8.06,8.24,0.96,
1991-01-28,,,,,,,7.12,7.67,8.06,8.23,0.94,
1991-01-29,,,,,,,7.1,7.64,8.03,8.2,0.93,
1991-01-30,,,,,,,7.07,7.64,8.05,8.23,0.98,
1991-01-31,,,,,,,7.05,7.62,8.03,8.21,0.98,
1991-02-01,,,,,,,6.83,7.45,7.91,8.09,1.08,
1991-02-04,,,,,,,6.82,7.43,7.88,8.05,1.06,
1991-02-05,,,,,,,6.8,7.4,7.85,8.02,1.05,
1991-02-06,,,,,,,6.82,7.4,7.79,8.02,0.97,
1991-02-07,,,,,,,6.8,7.42,7.82,8.01,1.02,
1991-02-08,,,,,,,6.8,7.4,7.77,7.95,0.97,
1991-02-11,,,,,,,6.78,7.39,7.78,7.97,1.0,
1991-02-12,,,,,,,6.78,7.39,7.78,7.96,1.0,
1991-02-13,,,,,,,6.78,7.39,7.78,7.97,1.0,
1991-02-14,,,,,,,6.77,7.38,7.8,7.99,1.03,
1991-02-15,,,,,,,6.82,7.41,7.78,7.97,0.96,
1991-02-19,,,,,,,6.87,7.46,7.8,7.99,0.93,
1991-02-20,,,,,,,6.87,7.49,7.84,8.02,0.97,
1991-02-21,,,,,,,6.9,7.51,7.88,8.04,0.98,
1991-02-22,,,,,,,6.98,7.57,7.91,8.07,0.93,
1991-02-25,,,,,,,6.99,7.57,7.91,8.05,0.92,
1991-02-26,,,,,,,7.0,7.62,7.96,8.14,0.96,
1991-02-27,,,,,,,7.02,7.64,7.98,8.15,0.96,
1991-02-28,,,,,,,7.04,7.66,8.02,8.19,0.98,
1991-03-01,,,,,,,7.18,7.78,8.12,8.28,0.94,
1991-03-04,,,,,,,7.16,7.77,8.12,8.29,0.96,
1991-03-05,,,,,,,7.13,7.73,8.08,8.25,0.95,
1991-03-06,,,,,,,7.15,7.77,8.11,8.29,0.96,
1991-03-07,,,,,,,7.12,7.73,8.07,8.23,0.95,
1991-03-08,,,,,,,7.08,7.77,8.13,8.3,1.05,
1991-03-11,,,,,,,7.05,7.71,8.06,8.23,1.01,
1991-03-12,,,,,,,7.07,7.74,8.09,8.26,1.02,
1991-03-13,,,,,,,7.0,7.67,8.02,8.2,1.02,
1991-03-14,,,,,,,6.95,7.64,8.02,8.2,1.07,
1991-03-15,,,,,,,7.01,7.73,8.1,8.3,1.09,
1991-03-18,,,,,,,7.09,7.79,8.15,8.34,1.06,
1991-03-19,,,,,,,7.22,7.93,8.25,8.42,1.03,
1991-03-20,,,,,,,7.2,7.88,8.2,8.37,1.0,
1991-03-21,,,,,,,7.13,7.82,8.16,8.34,1.03,
1991-03-22,,,,,,,7.13,7.82,8.13,8.33,1.0,
1991-03-25,,,,,,,7.14,7.83,8.13,8.32,0.99,
1991-03-26,,,,,,,7.16,7.84,8.13,8.31,0.97,
1991-03-27,,,,,,,7.07,7.76,8.08,8.26,1.01,
1991-03-28,,,,,,,7.02,7.73,8.05,8.24,1.03,
1991-04-01,,,,,,,7.01,7.74,8.07,8.25,1.06,
1991-04-02,,,,,,,6.97,7.68,8.03,8.22,1.06,
1991-04-03,,,,,,,6.99,7.71,8.05,8.24,1.06,
1991-04-04,,,,,,,6.94,7.67,8.0,8.19,1.06,
1991-04-05,,,,,,,6.92,7.65,7.99,8.18,1.07,
1991-04-08,,,,,,,6.91,7.63,7.98,8.16,1.07,
1991-04-09,,,,,,,6.94,7.68,8.03,8.2,1.09,
1991-04-10,,,,,,,7.02,7.75,8.1,8.27,1.08,
1991-04-11,,,,,,,6.95,7.74,8.09,8.27,1.14,
1991-04-12,,,,,,,6.88,7.64,7.98,8.16,1.1,
1991-04-15,,,,,,,6.9,7.64,7.95,8.12,1.05,
1991-04-16,,,,,,,6.92,7.66,7.97,8.13,1.05,
1991-04-17,,,,,,,6.9,7.64,7.95,8.11,1.05,
1991-04-18,,,,,,,6.99,7.74,8.02,8.18,1.03,
1991-04-19,,,,,,,7.03,7.8,8.1,8.24,1.07,
1991-04-22,,,,,,,7.07,7.83,8.15,8.3,1.08,
1991-04-23,,,,,,,7.05,7.78,8.12,8.28,1.07,
1991-04-24,,,,,,,6.95,7.73,8.06,8.22,1.11,
1991-04-25,,,,,,,6.93,7.7,8.07,8.24,1.14,
1991-04-26,,,,,,,6.89,7.68,8.06,8.22,1.17,
1991-04-29,,,,,,,6.9,7.7,8.07,8.23,1.17,
1991-04-30,,,,,,,6.8,7.63,8.02,8.2,1.22,
1991-05-01,,,,,,,6.8,7.63,8.01,8.18,1.21,
1991-05-02,,,,,,,6.76,7.59,7.97,8.14,1.21,
1991-05-03,,,,,,,6.8,7.67,8.04,8.22,1.24,
1991-05-06,,,,,,,6.82,7.67,8.05,8.23,1.23,
1991-05-07,,,,,,,6.82,7.67,8.06,8.24,1.24,
1991-05-08,,,,,,,6.84,7.68,8.04,8.24,1.2,
1991-05-09,,,,,,,6.84,7.68,8.02,8.21,1.18,
1991-05-10,,,,,,,6.87,7.76,8.12,8.33,1.25,
1991-05-13,,,,,,,6.84,7.72,8.07,8.27,1.23,
1991-05-14,,,,,,,6.86,7.78,8.14,8.36,1.28,
1991-05-15,,,,,,,6.84,7.77,8.13,8.34,1.29,
1991-05-16,,,,,,,6.84,7.77,8.12,8.33,1.28,
1991-05-17,,,,,,,6.86,7.77,8.08,8.28,1.22,
1991-05-20,,,,,,,6.86,7.78,8.1,8.3,1.24,
1991-05-21,,,,,,,6.84,7.74,8.06,8.26,1.22,
1991-05-22,,,,,,,6.77,7.72,8.06,8.28,1.29,
1991-05-23,,,,,,,6.74,7.71,8.1,8.31,1.36,
1991-05-24,,,,,,,6.69,7.68,8.1,8.31,1.41,
1991-05-28,,,,,,,6.66,7.66,8.07,8.28,1.41,
1991-05-29,,,,,,,6.61,7.66,8.07,8.29,1.46,
1991-05-30,,,,,,,6.6,7.63,8.02,8.22,1.42,
1991-05-31,,,,,,,6.68,7.69,8.06,8.26,1.38,
1991-06-03,,,,,,,6.79,7.8,8.14,8.34,1.35,
1991-06-04,,,,,,,6.79,7.8,8.14,8.34,1.35,
1991-06-05,,,,,,,6.83,7.84,8.19,8.39,1.36,
1991-06-06,,,,,,,6.86,7.89,8.23,8.42,1.37,
1991-06-07,,,,,,,6.98,7.96,8.29,8.48,1.31,
1991-06-10,,,,,,,7.01,7.95,8.29,8.48,1.28,
1991-06-11,,,,,,,6.99,7.96,8.29,8.48,1.3,
1991-06-12,,,,,,,7.08,8.02,8.36,8.55,1.28,
1991-06-13,,,,,,,7.08,8.0,8.34,8.53,1.26,
1991-06-14,,,,,,,7.02,7.94,8.29,8.47,1.27,
1991-06-17,,,,,,,7.02,7.96,8.3,8.49,1.28,
1991-06-18,,,,,,,7.0,7.97,8.32,8.52,1.32,
1991-06-19,,,,,,,6.95,7.97,8.33,8.52,1.38,
1991-06-20,,,,,,,6.87,7.91,8.3,8.48,1.43,
1991-06-21,,,,,,,6.94,7.95,8.32,8.51,1.38,
1991-06-24,,,,,,,6.96,7.98,8.33,8.51,1.37,
1991-06-25,,,,,,,7.04,7.99,8.33,8.51,1.29,
1991-06-26,,,,,,,7.01,7.98,8.33,8.51,1.32,
1991-06-27,,,,,,,7.0,7.97,8.32,8.49,1.32,
1991-06-28,,,,,,,6.9,7.9,8.24,8.42,1.34,
1991-07-01,,,,,,,6.97,7.93,8.26,8.44,1.29,
1991-07-02,,,,,,,7.0,7.95,8.27,8.44,1.27,
1991-07-03,,,,,,,6.97,7.92,8.26,8.42,1.29,
1991-07-05,,,,,,,7.04,8.01,8.34,8.49,1.3,
1991-07-08,,,,,,,7.0,8.0,8.34,8.51,1.34,
1991-07-09,,,,,,,7.0,8.02,8.36,8.53,1.36,
1991-07-10,,,,,,,6.97,8.0,8.35,8.53,1.38,
1991-07-11,,,,,,,6.92,7.95,8.3,8.47,1.38,
1991-07-12,,,,,,,6.88,7.9,8.26,8.44,1.38,
1991-07-15,,,,,,,6.88,7.9,8.26,8.44,1.38,
1991-07-16,,,,,,,6.9,7.91,8.27,8.46,1.37,
1991-07-17,,,,,,,6.94,7.94,8.3,8.49,1.36,
1991-07-18,,,,,,,6.91,7.95,8.31,8.5,1.4,
1991-07-19,,,,,,,6.89,7.91,8.28,8.48,1.39,
1991-07-22,,,,,,,6.91,7.92,8.28,8.48,1.37,
1991-07-23,,,,,,,6.94,7.96,8.31,8.5,1.37,
1991-07-24,,,,,,,6.88,7.86,8.24,8.42,1.36,
1991-07-25,,,,,,,6.87,7.81,8.2,8.38,1.33,
1991-07-26,,,,,,,6.85,7.82,8.2,8.39,1.35,
1991-07-29,,,,,,,6.82,7.81,8.2,8.39,1.38,
1991-07-30,,,,,,,6.84,7.81,8.21,8.39,1.37,
1991-07-31,,,,,,,6.81,7.77,8.2,8.36,1.39,
1991-08-01,,,,,,,6.84,7.78,8.2,8.38,1.36,
1991-08-02,,,,,,,6.69,7.62,8.06,8.25,1.37,
1991-08-05,,,,,,,6.69,7.62,8.04,8.24,1.35,
1991-08-06,,,,,,,6.57,7.54,7.97,8.18,1.4,
1991-08-07,,,,,,,6.54,7.51,7.93,8.17,1.39,
1991-08-08,,,,,,,6.52,7.53,7.98,8.22,1.46,
1991-08-09,,,,,,,6.49,7.51,7.98,8.23,1.49,
1991-08-12,,,,,,,6.49,7.49,7.95,8.21,1.46,
1991-08-13,,,,,,,6.48,7.46,7.91,8.17,1.43,
1991-08-14,,,,,,,6.37,7.37,7.82,8.08,1.45,
1991-08-15,,,,,,,6.33,7.37,7.84,8.09,1.51,
1991-08-16,,,,,,,6.31,7.33,7.84,8.09,1.53,
1991-08-19,,,,,,,6.24,7.31,7.83,8.11,1.59,
1991-08-20,,,,,,,6.17,7.24,7.81,8.09,1.64,
1991-08-21,,,,,,,6.27,7.27,7.8,8.07,1.53,
1991-08-22,,,,,,,6.27,7.25,7.78,8.05,1.51,
1991-08-23,,,,,,,6.46,7.39,7.88,8.13,1.42,
1991-08-26,,,,,,,6.48,7.44,7.91,8.15,1.43,
1991-08-27,,,,,,,6.41,7.42,7.89,8.14,1.48,
1991-08-28,,,,,,,6.3,7.32,7.82,8.06,1.52,
1991-08-29,,,,,,,6.25,7.24,7.74,7.99,1.49,
1991-08-30,,,,,,,6.36,7.34,7.82,8.06,1.46,
1991-09-03,,,,,,,6.33,7.32,7.81,8.05,1.48,
1991-09-04,,,,,,,6.31,7.31,7.81,8.06,1.5,
1991-09-05,,,,,,,6.31,7.32,7.83,8.09,1.52,
1991-09-06,,,,,,,6.26,7.24,7.76,8.02,1.5,
1991-09-09,,,,,,,6.23,7.2,7.73,8.0,1.5,
1991-09-10,,,,,,,6.21,7.2,7.73,8.01,1.52,
1991-09-11,,,,,,,6.23,7.21,7.74,8.02,1.51,
1991-09-12,,,,,,,6.2,7.15,7.67,7.96,1.47,
1991-09-13,,,,,,,6.18,7.13,7.66,7.95,1.48,
1991-09-16,,,,,,,6.17,7.11,7.63,7.93,1.46,
1991-09-17,,,,,,,6.18,7.1,7.62,7.92,1.44,
1991-09-18,,,,,,,6.18,7.1,7.62,7.92,1.44,
1991-09-19,,,,,,,6.2,7.1,7.61,7.92,1.41,
1991-09-20,,,,,,,6.18,7.09,7.57,7.89,1.39,
1991-09-23,,,,,,,6.17,7.09,7.55,7.88,1.38,
1991-09-24,,,,,,,6.11,7.09,7.56,7.89,1.45,
1991-09-25,,,,,,,6.12,7.06,7.58,7.91,1.46,
1991-09-26,,,,,,,6.05,7.03,7.56,7.89,1.51,
1991-09-27,,,,,,,6.02,6.95,7.49,7.83,1.47,
1991-09-30,,,,,,,5.99,6.92,7.47,7.82,1.48,
1991-10-01,,,,,,,5.99,6.9,7.45,7.81,1.46,
1991-10-02,,,,,,,5.99,6.9,7.47,7.83,1.48,
1991-10-03,,,,,,,5.98,6.88,7.47,7.84,1.49,
1991-10-04,,,,,,,5.91,6.81,7.39,7.79,1.48,
1991-10-07,,,,,,,5.93,6.81,7.4,7.79,1.47,
1991-10-08,,,,,,,5.89,6.82,7.43,7.82,1.54,
1991-10-09,,,,,,,5.93,6.87,7.51,7.91,1.58,
1991-10-10,,,,,,,5.98,6.93,7.58,7.98,1.6,
1991-10-11,,,,,,,5.91,6.84,7.49,7.9,1.58,
1991-10-15,,,,,,,5.85,6.81,7.46,7.87,1.61,
1991-10-16,,,,,,,5.86,6.79,7.45,7.88,1.59,
1991-10-17,,,,,,,5.93,6.9,7.55,8.0,1.62,
1991-10-18,,,,,,,5.95,6.88,7.53,7.97,1.58,
1991-10-21,,,,,,,5.99,6.95,7.62,8.06,1.63,
1991-10-22,,,,,,,6.02,6.99,7.67,8.1,1.65,
1991-10-23,,,,,,,6.01,7.0,7.69,8.09,1.68,
1991-10-24,,,,,,,5.93,6.91,7.65,8.03,1.72,
1991-10-25,,,,,,,5.93,6.96,7.68,8.05,1.75,
1991-10-28,,,,,,,5.88,6.91,7.65,8.03,1.77,
1991-10-29,,,,,,,5.78,6.8,7.51,7.91,1.73,
1991-10-30,,,,,,,5.73,6.77,7.48,7.9,1.75,
1991-10-31,,,,,,,5.7,6.74,7.47,7.91,1.77,
1991-11-01,,,,,,,5.65,6.71,7.48,7.93,1.83,
1991-11-04,,,,,,,5.63,6.74,7.5,7.95,1.87,
1991-11-05,,,,,,,5.7,6.79,7.56,8.02,1.86,
1991-11-06,,,,,,,5.63,6.72,7.51,8.01,1.88,
1991-11-07,,,,,,,5.62,6.65,7.43,7.92,1.81,
1991-11-08,,,,,,,5.63,6.66,7.41,7.88,1.78,
1991-11-12,,,,,,,5.65,6.65,7.37,7.8,1.72,
1991-11-13,,,,,,,5.65,6.69,7.41,7.88,1.76,
1991-11-14,,,,,,,5.6,6.62,7.35,7.82,1.75,
1991-11-15,,,,,,,5.54,6.58,7.33,7.84,1.79,
1991-11-18,,,,,,,5.55,6.57,7.33,7.84,1.78,
1991-11-19,,,,,,,5.5,6.55,7.37,7.9,1.87,
1991-11-20,,,,,,,5.52,6.56,7.38,7.92,1.86,
1991-11-21,,,,,,,5.5,6.54,7.39,7.96,1.89,
1991-11-22,,,,,,,5.49,6.56,7.44,7.99,1.95,
1991-11-25,,,,,,,5.5,6.61,7.45,7.99,1.95,
1991-11-26,,,,,,,5.45,6.53,7.42,7.95,1.97,
1991-11-27,,,,,,,5.43,6.53,7.42,7.97,1.99,
1991-11-29,,,,,,,5.38,6.48,7.38,7.94,2.0,
1991-12-02,,,,,,,5.33,6.43,7.32,7.92,1.99,
1991-12-03,,,,,,,5.29,6.39,7.28,7.9,1.99,
1991-12-04,,,,,,,5.22,6.27,7.17,7.84,1.95,
1991-12-05,,,,,,,5.22,6.3,7.21,7.86,1.99,
1991-12-06,,,,,,,5.19,6.31,7.26,7.78,2.07,
1991-12-09,,,,,,,5.09,6.23,7.22,7.78,2.13,
1991-12-10,,,,,,,5.07,6.25,7.21,7.79,2.14,
1991-12-11,,,,,,,5.04,6.26,7.22,7.81,2.18,
1991-12-12,,,,,,,5.06,6.23,7.19,7.77,2.13,
1991-12-13,,,,,,,5.09,6.3,7.22,7.79,2.13,
1991-12-16,,,,,,,5.06,6.28,7.21,7.77,2.15,
1991-12-17,,,,,,,5.02,6.24,7.18,7.75,2.16,
1991-12-18,,,,,,,5.11,6.3,7.19,7.76,2.08,
1991-12-19,,,,,,,5.05,6.19,7.11,7.68,2.06,
1991-12-20,,,,,,,4.8,6.02,6.97,7.59,2.17,
1991-12-23,,,,,,,4.79,6.0,6.88,7.53,2.09,
1991-12-24,,,,,,,4.84,6.01,6.88,7.53,2.04,
1991-12-26,,,,,,,4.85,6.0,6.85,7.51,2.0,
1991-12-27,,,,,,,4.85,6.0,6.82,7.52,1.97,
1991-12-30,,,,,,,4.8,5.97,6.76,7.45,1.96,
1991-12-31,,,,,,9.3,4.77,5.93,6.71,7.41,1.94,-0.1
1992-01-02,,,,,,,4.77,5.98,6.78,7.46,2.01,
1992-01-03,,,,,,,4.8,6.05,6.85,7.48,2.05,
1992-01-06,,,,,,,4.76,6.02,6.82,7.44,2.06,
1992-01-07,,,,,,,4.67,5.94,6.76,7.39,2.09,
1992-01-08,,,,,,,4.66,5.96,6.77,7.41,2.11,
1992-01-09,,,,,,,4.77,6.02,6.79,7.42,2.02,
1992-01-10,,,,,,,4.85,6.1,6.85,7.47,2.0,
1992-01-13,,,,,,,4.93,6.21,6.92,7.49,1.99,
1992-01-14,,,,,,,5.0,6.34,7.03,7.54,2.03,
1992-01-15,,,,,,,5.07,6.37,7.05,7.57,1.98,
1992-01-16,,,,,,,5.07,6.41,7.13,7.65,2.06,
1992-01-17,,,,,,,5.02,6.36,7.09,7.61,2.07,
1992-01-21,,,,,,,4.97,6.27,7.03,7.57,2.06,
1992-01-22,,,,,,,4.95,6.28,7.09,7.62,2.14,
1992-01-23,,,,,,,5.02,6.32,7.2,7.71,2.18,
1992-01-24,,,,,,,5.13,6.4,7.25,7.71,2.12,
1992-01-27,,,,,,,5.15,6.41,7.24,7.71,2.09,
1992-01-28,,,,,,,5.1,6.32,7.16,7.66,2.06,
1992-01-29,,,,,,,5.15,6.42,7.25,7.75,2.1,
1992-01-30,,,,,,,5.17,6.48,7.31,7.79,2.14,
1992-01-31,,,,,,,5.11,6.44,7.31,7.77,2.2,
1992-02-03,,,,,,,5.15,6.52,7.36,7.82,2.21,
1992-02-04,,,,,,,5.12,6.46,7.29,7.76,2.17,
1992-02-05,,,,,,,5.07,6.4,7.21,7.74,2.14,
1992-02-06,,,,,,,5.05,6.4,7.2,7.75,2.15,
1992-02-07,,,,,,,4.97,6.4,7.2,7.77,2.23,
1992-02-10,,,,,,,4.94,6.38,7.21,7.79,2.27,
1992-02-11,,,,,,,5.01,6.4,7.23,7.79,2.22,
1992-02-12,,,,,,,5.08,6.46,7.3,7.81,2.22,
1992-02-13,,,,,,,5.22,6.61,7.4,7.92,2.18,
1992-02-14,,,,,,,5.27,6.65,7.41,7.91,2.14,
1992-02-18,,,,,,,5.24,6.69,7.47,7.97,2.23,
1992-02-19,,,,,,,5.28,6.67,7.42,7.93,2.14,
1992-02-20,,,,,,,5.3,6.67,7.41,7.91,2.11,
1992-02-21,,,,,,,5.46,6.77,7.45,7.95,1.99,
1992-02-24,,,,,,,5.46,6.81,7.47,7.97,2.01,
1992-02-25,,,,,,,5.43,6.78,7.44,7.94,2.01,
1992-02-26,,,,,,,5.37,6.66,7.33,7.85,1.96,
1992-02-27,,,,,,,5.34,6.67,7.35,7.86,2.01,
1992-02-28,,,,,,,5.27,6.58,7.27,7.8,2.0,
1992-03-02,,,,,,,5.45,6.73,7.38,7.9,1.93,
1992-03-03,,,,,,,5.48,6.76,7.43,7.93,1.95,
1992-03-04,,,,,,,5.5,6.76,7.43,7.9,1.93,
1992-03-05,,,,,,,5.62,6.87,7.51,7.95,1.89,
1992-03-06,,,,,,,5.6,6.85,7.48,7.93,1.88,
1992-03-09,,,,,,,5.54,6.77,7.42,7.88,1.88,
1992-03-10,,,,,,,5.56,6.78,7.43,7.89,1.87,
1992-03-11,,,,,,,5.58,6.86,7.51,7.96,1.93,
1992-03-12,,,,,,,5.74,7.01,7.62,8.04,1.88,
1992-03-13,,,,,,,5.86,7.14,7.71,8.06,1.85,
1992-03-16,,,,,,,5.87,7.12,7.69,8.07,1.82,
1992-03-17,,,,,,,5.83,7.06,7.62,8.02,1.79,
1992-03-18,,,,,,,5.84,7.06,7.62,8.01,1.78,
1992-03-19,,,,,,,5.79,7.03,7.57,7.98,1.78,
1992-03-20,,,,,,,5.86,7.12,7.64,8.05,1.78,
1992-03-23,,,,,,,5.87,7.1,7.62,8.04,1.75,
1992-03-24,,,,,,,5.78,7.0,7.53,7.94,1.75,
1992-03-25,,,,,,,5.72,6.96,7.53,7.94,1.81,
1992-03-26,,,,,,,5.69,6.98,7.57,7.99,1.88,
1992-03-27,,,,,,,5.68,6.97,7.54,7.94,1.86,
1992-03-30,,,,,,,5.61,6.93,7.54,7.95,1.93,
1992-03-31,,,,,,,5.6,6.94,7.54,7.96,1.94,
1992-04-01,,,,,,,5.53,6.82,7.46,7.9,1.93,
1992-04-02,,,,,,,5.55,6.85,7.47,7.92,1.92,
1992-04-03,,,,,,,5.37,6.76,7.42,7.88,2.05,
1992-04-06,,,,,,,5.36,6.74,7.41,7.88,2.05,
1992-04-07,,,,,,,5.34,6.73,7.41,7.9,2.07,
1992-04-08,,,,,,,5.33,6.76,7.44,7.94,2.11,
1992-04-09,,,,,,,5.09,6.59,7.35,7.85,2.26,
1992-04-10,,,,,,,5.16,6.62,7.37,7.89,2.21,
1992-04-13,,,,,,,5.11,6.58,7.33,7.86,2.22,
1992-04-14,,,,,,,5.15,6.6,7.35,7.88,2.2,
1992-04-15,,,,,,,5.22,6.66,7.37,7.87,2.15,
1992-04-16,,,,,,,5.34,6.76,7.45,7.93,2.11,
1992-04-20,,,,,,,5.45,6.9,7.59,8.02,2.14,
1992-04-21,,,,,,,5.41,6.89,7.58,8.03,2.17,
1992-04-22,,,,,,,5.41,6.89,7.57,8.04,2.16,
1992-04-23,,,,,,,5.41,6.91,7.59,8.06,2.18,
1992-04-24,,,,,,,5.33,6.85,7.55,8.06,2.22,
1992-04-27,,,,,,,5.42,6.9,7.6,8.1,2.18,
1992-04-28,,,,,,,5.4,6.87,7.57,8.06,2.17,
1992-04-29,,,,,,,5.39,6.88,7.6,8.08,2.21,
1992-04-30,,,,,,,5.46,6.91,7.61,8.06,2.15,
1992-05-01,,,,,,,5.33,6.82,7.56,8.01,2.23,
1992-05-04,,,,,,,5.32,6.82,7.58,8.03,2.26,
1992-05-05,,,,,,,5.3,6.8,7.56,8.01,2.26,
1992-05-06,,,,,,,5.25,6.76,7.46,7.97,2.21,
1992-05-07,,,,,,,5.34,6.8,7.49,8.0,2.15,
1992-05-08,,,,,,,5.29,6.73,7.41,7.9,2.12,
1992-05-11,,,,,,,5.24,6.71,7.4,7.9,2.16,
1992-05-12,,,,,,,5.19,6.66,7.36,7.86,2.17,
1992-05-13,,,,,,,5.14,6.64,7.34,7.85,2.2,
1992-05-14,,,,,,,5.13,6.63,7.34,7.87,2.21,
1992-05-15,,,,,,,5.11,6.6,7.28,7.81,2.17,
1992-05-18,,,,,,,5.12,6.59,7.28,7.82,2.16,
1992-05-19,,,,,,,5.0,6.47,7.2,7.77,2.2,
1992-05-20,,,,,,,5.13,6.55,7.25,7.79,2.12,
1992-05-21,,,,,,,5.34,6.77,7.39,7.86,2.05,
1992-05-22,,,,,,,5.24,6.69,7.35,7.83,2.11,
1992-05-26,,,,,,,5.35,6.79,7.46,7.92,2.11,
1992-05-27,,,,,,,5.28,6.74,7.44,7.91,2.16,
1992-05-28,,,,,,,5.22,6.67,7.36,7.87,2.14,
1992-05-29,,,,,,,5.19,6.61,7.33,7.84,2.14,
1992-06-01,,,,,,,5.29,6.69,7.39,7.9,2.1,
1992-06-02,,,,,,,5.23,6.61,7.35,7.87,2.12,
1992-06-03,,,,,,,5.2,6.6,7.34,7.88,2.14,
1992-06-04,,,,,,,5.22,6.6,7.34,7.88,2.12,
1992-06-05,,,,,,,5.13,6.55,7.31,7.84,2.18,
1992-06-08,,,,,,,5.11,6.56,7.31,7.84,2.2,
1992-06-09,,,,,,,5.11,6.59,7.33,7.88,2.22,
1992-06-10,,,,,,,5.13,6.59,7.35,7.9,2.22,
1992-06-11,,,,,,,5.09,6.56,7.33,7.88,2.24,
1992-06-12,,,,,,,5.06,6.49,7.29,7.85,2.23,
1992-06-15,,,,,,,5.05,6.49,7.28,7.85,2.23,
1992-06-16,,,,,,,5.02,6.44,7.24,7.84,2.22,
1992-06-17,,,,,,,5.0,6.44,7.23,7.82,2.23,
1992-06-18,,,,,,,4.94,6.39,7.19,7.8,2.25,
1992-06-19,,,,,,,5.0,6.45,7.24,7.83,2.24,
1992-06-22,,,,,,,4.99,6.45,7.24,7.84,2.25,
1992-06-23,,,,,,,5.1,6.5,7.25,7.85,2.15,
1992-06-24,,,,,,,4.96,6.39,7.2,7.83,2.24,
1992-06-25,,,,,,,4.89,6.32,7.14,7.78,2.25,
1992-06-26,,,,,,,4.88,6.33,7.15,7.79,2.27,
1992-06-29,,,,,,,4.83,6.29,7.12,7.78,2.29,
1992-06-30,,,,,,,4.83,6.29,7.14,7.79,2.31,
1992-07-01,,,,,,,4.82,6.27,7.1,7.76,2.28,
1992-07-02,,,,,,,4.55,6.02,6.93,7.63,2.38,
1992-07-06,,,,,,,4.46,5.97,6.9,7.62,2.44,
1992-07-07,,,,,,,4.4,5.91,6.87,7.61,2.47,
1992-07-08,,,,,,,4.4,5.93,6.91,7.61,2.51,
1992-07-09,,,,,,,4.4,5.93,6.91,7.61,2.51,
1992-07-10,,,,,,,4.38,5.92,6.93,7.64,2.55,
1992-07-13,,,,,,,4.4,5.94,6.97,7.67,2.57,
1992-07-14,,,,,,,4.32,5.9,6.97,7.69,2.65,
1992-07-15,,,,,,,4.25,5.8,6.9,7.64,2.65,
1992-07-16,,,,,,,4.25,5.8,6.87,7.62,2.62,
1992-07-17,,,,,,,4.27,5.82,6.9,7.68,2.63,
1992-07-20,,,,,,,4.3,5.82,6.9,7.66,2.6,
1992-07-21,,,,,,,4.34,5.82,6.89,7.67,2.55,
1992-07-22,,,,,,,4.29,5.77,6.85,7.62,2.56,
1992-07-23,,,,,,,4.2,5.62,6.72,7.54,2.52,
1992-07-24,,,,,,,4.25,5.66,6.73,7.57,2.48,
1992-07-27,,,,,,,4.27,5.66,6.69,7.53,2.42,
1992-07-28,,,,,,,4.27,5.63,6.63,7.44,2.36,
1992-07-29,,,,,,,4.25,5.62,6.6,7.43,2.35,
1992-07-30,,,,,,,4.33,5.76,6.69,7.46,2.36,
1992-07-31,,,,,,,4.42,5.84,6.72,7.46,2.3,
1992-08-03,,,,,,,4.4,5.82,6.72,7.46,2.32,
1992-08-04,,,,,,,4.31,5.72,6.66,7.43,2.35,
